"CountryName","Year","PartialCollaborative","DefExp","pDefExpGDP","pDefExpGov","pcapDefExp","DefPers","DefCon","DefInv","DefProc","DefRnD","DefRnT","DefOnM","DefOth","CollabProc","EurCollabProc","CollabRnT","EurCollabRnT","dYear","OBS_VALUE","EUregion","NATOregion"
"Austria",2005,FALSE,2160100000,8501.82032864312,16619.5544626824,262617199.657641,NA,36500000,190800000,184300000,6500000,6500000,473800000,1.459e+09,NA,NA,5e+05,1e+05,2005-07-01,0.82996,"Rest of EU27","EU27 outside NATO"
"Austria",2006,FALSE,2104472000,7857.65305265202,15596.7918132244,254533711.500432,1469453000,60597900,81087400,80268400,819000,819000,492596400,737299.999999777,NA,NA,0,0,2006-07-01,0.84566,"Rest of EU27","EU27 outside NATO"
"Austria",2007,FALSE,2566076000,9036.17885892569,18349.770884939,309345054.182002,1514100000,61600000,492300000,491300000,1e+06,1e+06,498100000,0,NA,NA,0,0,2007-07-01,0.86445,"Rest of EU27","EU27 outside NATO"
"Austria",2008,FALSE,2558070453,8707.97218087165,17459.9446115918,307403491.781569,1549300000,83500000,352770000,351900000,870000,57000,572500000,453.000000561588,NA,NA,0,0,2008-07-01,0.88136,"Rest of EU27","EU27 outside NATO"
"Austria",2009,FALSE,2400500000,8333.79622557665,15391.6782988557,287778667.574579,1588300000,43600000,294600000,287100000,7500000,7e+06,473200000,800000.000000182,NA,NA,0,0,2009-07-01,0.89801,"Rest of EU27","EU27 outside NATO"
"Austria",2010,FALSE,2430100000,8212.666181362,15542.5733860693,290644618.451945,1608400000,35700000,310800000,309800000,1e+06,1e+06,475200000,0,NA,NA,130000,130000,2010-07-01,0.90585,"Rest of EU27","EU27 outside NATO"
"Austria",2011,FALSE,2452800000,7908.97456443083,15539.2062765013,292399264.233423,1622900000,3.3e+07,289700000,288600000,1100000,1100000,507100000,99999.9999994543,NA,NA,NA,NA,2011-07-01,0.92246,"Rest of EU27","EU27 outside NATO"
"Austria",2012,FALSE,2481350000,7786.99714109078,15205.1051553417,294476467.160596,1.684e+09,31800000,248550000,246500000,2050000,1750000,5.17e+08,0,NA,NA,1450000,1450000,2012-07-01,0.94141,"Rest of EU27","EU27 outside NATO"
"Austria",2013,FALSE,2.432e+09,7508.25383084571,14537.4467772238,286886164.466459,1697800000,10600000,210200000,209200000,1e+06,1e+06,513400000,0,NA,NA,1e+05,1e+05,2013-07-01,0.95669,"Rest of EU27","EU27 outside NATO"
"Austria",2014,FALSE,2491200000,7479.67499202853,14291.0985249397,291575422.551449,1179150000,1200000,288600000,287100000,1500000,1500000,508800000,513450000,NA,NA,170000,170000,2014-07-01,0.97751,"Rest of EU27","EU27 outside NATO"
"Austria",2015,FALSE,2403430000,6976.71245760439,13681.4427895814,278512593.979735,1768500000,9e+05,156120000,154320000,1800000,1800000,477800000,109999.999999673,NA,NA,6e+05,6e+05,2015-07-01,1,"Rest of EU27","EU27 outside NATO"
"Austria",2016,FALSE,2.734e+09,7738.53379409783,15282.9554798675,312821445.775137,1820700000,2600000,234500000,232500000,2e+06,2e+06,551900000,124300000,NA,NA,2e+05,2e+05,2016-07-01,1.01848,"Rest of EU27","EU27 outside NATO"
"Austria",2017,FALSE,2797100000,7572.78972195021,15360.9755106367,318030442.054469,NA,NA,184300000,181200000,3100000,2e+06,NA,NA,NA,NA,NA,NA,2017-07-01,1.02872,"Rest of EU27","EU27 outside NATO"
"Austria",2018,FALSE,2870400000,7447.38262277388,15280.2280109832,324790019.133916,NA,NA,171100000,168100000,3e+06,2e+06,NA,NA,NA,NA,540000,540000,2018-07-01,1.04763,"Rest of EU27","EU27 outside NATO"
"Austria",2019,FALSE,2920170000,7345.99773343882,15119.7131978092,328935392.739512,NA,NA,177880000,1.71e+08,6880000,2e+06,NA,NA,NA,NA,550000,550000,2019-07-01,1.06384,"Rest of EU27","EU27 outside NATO"
"Austria",2020,FALSE,3159700000,8329.89297180274,14614.2016350034,354351592.77099,NA,NA,292700000,286200000,6500000,6500000,NA,NA,NA,NA,NA,NA,2020-07-01,1.09106,"Rest of EU27","EU27 outside NATO"
"Austria",2021,FALSE,3298800000,8178.09140184803,14618.7570156783,368365748.283405,NA,NA,398900000,391400000,7500000,7500000,NA,NA,NA,NA,NA,NA,2021-07-01,1.11226,"Rest of EU27","EU27 outside NATO"
"Austria",2022,NA,3447.1,0.00770038916329556,0.0144744157204804,380.740207296922,NA,NA,327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-01,1.16758,"Rest of EU27","EU27 outside NATO"
"Belgium",2005,FALSE,3338460000,10718.0282059119,NA,NA,NA,80900000,NA,222700000,NA,NA,NA,2468760000,NA,NA,NA,NA,2005-07-01,0.85431,"Rest of EU27","Other European NATO"
"Belgium",2006,FALSE,3567333000,10920.5598078259,NA,NA,2699685540,72551000,NA,209656000,NA,NA,NA,0,NA,NA,NA,NA,2006-07-01,0.87366,"Rest of EU27","Other European NATO"
"Belgium",2007,FALSE,3767573000,10929.6094571563,NA,NA,2966980000,66107000,NA,182165000,NA,NA,NA,0,NA,NA,NA,NA,2007-07-01,0.89054,"Rest of EU27","Other European NATO"
"Belgium",2008,FALSE,4252345000,12010.0382442929,23885.9689181803,397044351.073763,3064502000,75947000,357948000,348288000,9660000,9335000,753948000,0,61300000,61300000,5400000,4400000,2008-07-01,0.90754,"Rest of EU27","Other European NATO"
"Belgium",2009,FALSE,4047838927.77234,11605.6716598816,21432.3893340623,374938766.929635,3014371144.80234,90796245.97,342591794.1,333318794.1,9273000,8862000,600079742.9,0,80723000,80723000,5520000,4520000,2009-07-01,0.91238,"Rest of EU27","Other European NATO"
"Belgium",2010,FALSE,3951187907,10822.1925387667,20288.5234190107,362627377.661527,3003375912,50843000,265008000,255812000,9196000,8488000,631960995,0,68370765.05,68370765.05,2e+06,1e+06,2010-07-01,0.92964,"Rest of EU27","Other European NATO"
"Belgium",2011,FALSE,3985692985.662,10513.3915887496,19307.4223800338,362533471.499181,3006065608,67053000,261940908.19,253557908.19,8383000,7883000,650633469.472,0,67416000,67416000,2e+06,1e+06,2011-07-01,0.94644,"Rest of EU27","Other European NATO"
"Belgium",2012,FALSE,4094331000,10566.012757158,18913.2853933705,369925099.385616,3164088000,73160000,169069000,161290000,7779000,7279000,688014000,0,81730000,81730000,2e+06,1e+06,2012-07-01,0.965,"Rest of EU27","Other European NATO"
