"Country","Year","Desirable","Undesirable","USldrSpread","democ","autoc","DefIncrease","DefDecrease","DefSame","DefIDK","DefSpread","EUldrSpread","EUfvrSpread","NATOessSpread","NATO.EUspread","IntlCnf","CivilWar","GDPpCap","Population","NATOally","Attacks","IntAt","DomAt","Unit.Currency","DefSpnd","DefSpendDiff","DefSpendDelt","DefSpnd_lead","DefSpendDiff_lead","DefSpendDelt_lead","EquSpnd","EquSpendDiff","EquSpendDelt","EquSpnd_lead","EquSpendDiff_lead","EquSpendDelt_lead","InfSpnd","InfSpnd_lead","OnMspnd","OnMspendDiff","OnMspendDelt","OnMspnd_lead","OnMspendDiff_lead","OnMspendDelt_lead","PerSpnd","PerSpnd_lead","RnDspnd","RnDspnd_lead","Cab_left_right","Opp_left_right","left_right_ls_spread","Cab_liberty_authority","Opp_liberty_authority","liberty_authority_ls_spread","Cab_eu_anti_pro","Opp_eu_anti_pro","eu_anti_pro_ls_spread","CabinetChecksum","OppositionChecksum","UnlabeledParliamentShare","ThreatRatio","GDPpCapDiff","PopulationDiff","GDPpCapDelt","PopulationDelt","DefSpread_lag1","EUldrSpread_lag1","EUfvrSpread_lag1","NATOessSpread_lag1","NATO.EUspread_lag1","DefSpread_lag2","EUldrSpread_lag2","EUfvrSpread_lag2","NATOessSpread_lag2","NATO.EUspread_lag2"
"France",2002,48,48,0,9,0,28,33,47,2,-0.05,0.71,NA,0.28,NA,0,0,28247,61803229,1,0,0,0,"Mil EURO",4.6076e+10,8.77e+08,0.0194030841390296,4.757e+10,1.494e+09,0.0324246896431981,8800542395,31853277,0.00363261561350292,9751939106,951396711,0.10810659937739,1951147799,2299422364,7432943996,313471869,0.0440302122696967,7568931949,135987953,0.0182953017099525,28198731280,28215828600,4274360746,4261303347,5.82763560125381,"4.45414624557301",14.6628416744004,5.65042854697252,"4.47162431804757",10.7737130465587,7.21462794366977,"7.15880099236479",0.151011347338197,1,1,0.00157598034835355,0.0572846889952153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",2003,27,70,-0.43,9,0,22,32,43,3,-0.1,NA,NA,NA,NA,0,0,33605,62242474,1,4,4,0,"Mil EURO",4.757e+10,1.494e+09,0.0324246896431981,4.9108e+10,1.538e+09,0.0323313012402775,9751939106,951396711,0.10810659937739,10263572100,511632994,0.052464744543494,2299422364,2521385118,7568931949,135987953,0.0182953017099525,8206861365,637929416.000001,0.0842826200973155,28215828600,28377942310,4261303347,4089452519,7.3977625,"3.38380207253886",16.111878313224,7.06249895833333,"3.60738497409326",11.9378126440913,7.12571145833333,"6.90530984455959",0.0485768713540724,1,1,0,0.0564886255924171,5358,439245,0.189683860232945,0.00710715292885422,-0.05,0.71,NA,0.28,NA,NA,NA,NA,NA,NA
"France",2004,24,73,-0.49,9,0,19,29,44,8,-0.1,NA,NA,0.23,-0.23,0,0,36943,62702121,1,1,0,1,"Mil EURO",4.9108e+10,1.538e+09,0.0323313012402775,4.801e+10,-1.098e+09,-0.0223588824631424,10263572100,511632994,0.052464744543494,10226135320,-37436780,-0.00364753904734594,2521385118,2272286165,8206861365,637929416.000001,0.0842826200973155,7687095748,-519765617.000001,-0.063333056802526,28377942310,28040978200,4089452519,3954539175,7.39703584329977,"3.09828683700454",18.5053962929115,7.06162286400698,"3.25428717308258",14.5358099604971,7.12670595923788,"7.14385686025769",0.0184911698782605,1,1,0.0275207141490468,0.0544225806451613,3338,459647,0.0993304567772653,0.00738478036718138,-0.1,NA,NA,NA,NA,-0.05,0.71,NA,0.28,NA
"France",2005,28,69,-0.41,9,0,NA,NA,NA,NA,NA,0.66,NA,0.24,-0.48,0,0,36805,63176246,1,2,0,2,"Mil EURO",4.801e+10,-1.098e+09,-0.0223588824631424,4.9028e+10,1.018e+09,0.0212039158508643,10226135320,-37436780,-0.00364753904734594,11178391010,952255690,0.0931198013914019,2272286165,1827112041,7687095748,-519765617.000001,-0.063333056802526,7999787857,312692109,0.040677535346344,28040978200,28344927350,3954539175,4537415423,7.39680152284264,"3.00621851851852",19.2772191178598,7.06134035532995,"3.14042592592593",15.3735699627087,7.12702664974619,"7.22077962962963",0.00878962123702396,1,1,0.0363951473136915,0.0525045454545455,-138,474125,-0.00373548439487859,0.00756154644274321,-0.1,NA,NA,0.23,-0.23,-0.1,NA,NA,NA,NA
"France",2006,30,65,-0.35,9,0,NA,NA,NA,NA,NA,0.39,NA,0.23,-0.27,0,0,37560,63617975,1,3,2,1,"Mil EURO",4.9028e+10,1.018e+09,0.0212039158508643,4.8625e+10,-4.03e+08,-0.00821979277147755,11178391010,952255690,0.0931198013914019,10405831190,-772559820,-0.0691118980637626,1827112041,1909617781,7999787857,312692109,0.040677535346344,8568797734,569009877,0.0711281207916161,28344927350,27958762890,4537415423,4407898545,7.39680152284264,"3.00621851851852",19.2772191178598,7.06134035532995,"3.14042592592593",15.3735699627087,7.12702664974619,"7.22077962962963",0.00878962123702396,1,1,0.0363951473136915,0.0510438053097345,755,441729,0.0205135171851651,0.00699201088966261,NA,0.66,NA,0.24,-0.48,-0.1,NA,NA,0.23,-0.23
"France",2007,28,64,-0.36,9,0,NA,NA,NA,NA,NA,0.52,NA,0.19,NA,0,0,42011,64012572,1,2,0,2,"Mil EURO",4.8625e+10,-4.03e+08,-0.00821979277147755,4.7723e+10,-9.02e+08,-0.0185501285347044,10405831190,-772559820,-0.0691118980637626,10021729270,-384101920,-0.0369121805828565,1909617781,1775227751,8568797734,569009877,0.0711281207916161,8588263983,19466249.000001,0.00227175965687243,27958762890,27540019700,4407898545,3817939724,7.40793984817599,"3.24654145131294",17.3489371126551,7.00838537765256,"3.2828939974866",13.9029531239979,7.10334239646617,"7.38380981687607",0.100617099996453,0.999999999,0.999999999,0.0186641780883882,0.0498796536796537,4451,394597,0.118503727369542,0.00620260233055192,NA,0.39,NA,0.23,-0.27,NA,0.66,NA,0.24,-0.48
"France",2008,28,68,-0.4,9,0,19,23,54,4,-0.04,0.46,NA,0.28,-0.22,0,0,45985,64371099,1,1,0,1,"Mil EURO",4.7723e+10,-9.02e+08,-0.0185501285347044,4.1186e+10,-6.537e+09,-0.136977977076043,10021729270,-384101920,-0.0369121805828565,11120140710,1098411440,0.109602984715232,1775227751,905359773.7,8588263983,19466249.000001,0.00227175965687243,8847834152,259570168.999999,0.030223822825405,27540019700,20288289470,3817939724,4011313572,7.40121223880597,"3.37819666666667",16.1846542936753,6.94337373134328,"3.34834833333333",12.9242076123366,7.1053152238806,"7.48323666666667",0.142824616917505,1,1,0.00346620450606586,0.0513588744588745,3974,358527,0.0945942729285187,0.00560088415131954,NA,0.52,NA,0.19,NA,NA,0.39,NA,0.23,-0.27
"France",2009,52,42,0.1,9,0,NA,NA,NA,NA,NA,0.49,0.33,0.18,-0.13,0,0,43367,64702921,1,0,0,0,"Mil EURO",4.1186e+10,-6.537e+09,-0.136977977076043,4.0795e+10,-3.91e+08,-0.00949351721458747,11120140710,1098411440,0.109602984715232,12320002090,1199861380,0.107899837896925,905359773.7,1265107963,8847834152,259570168.999999,0.030223822825405,7753887512,-1093946640,-0.123640048084843,20288289470,19425528710,4011313572,2501411727,7.40121223880597,"3.37819666666667",16.1846542936753,6.94337373134328,"3.34834833333333",12.9242076123366,7.1053152238806,"7.48323666666667",0.142824616917505,1,1,0.00346620450606586,0.0525022222222222,-2618,331822,-0.0569316081330868,0.00515482887747498,-0.04,0.46,NA,0.28,-0.22,NA,0.52,NA,0.19,NA
"France",2010,46,51,-0.05,9,0,NA,NA,NA,NA,NA,0.46,0.33,0.26,-0.03,0,0,41358,65023142,1,1,1,0,"Mil EURO",4.0795e+10,-3.91e+08,-0.00949351721458747,3.9608e+10,-1.187e+09,-0.0290967030273318,12320002090,1199861380,0.107899837896925,11169390060,-1150612030,-0.093393817760302,1265107963,1066190575,7753887512,-1093946640,-0.123640048084843,7818730884,64843372,0.00836269186258476,19425528710,19507338670,2501411727,1173719959,7.40094428553522,"3.33505917056284",16.5438171271409,6.9427152563256,"3.29605629149873",13.3161030950363,7.10563929779037,"7.47970353431987",0.140024400682707,1,1,0.00436132325129983,0.0503676855895197,-2009,320221,-0.0463255470749648,0.00494909650215014,NA,0.49,0.33,0.18,-0.13,-0.04,0.46,NA,0.28,-0.22
"France",2011,48,49,-0.01,9,0,11,33,55,1,-0.22,0.54,0.22,0.24,-0.02,0,0,43810,65343588,1,3,2,1,"Mil EURO",3.9608e+10,-1.187e+09,-0.0290967030273318,3.9798e+10,1.9e+08,0.00479701070490801,11169390060,-1150612030,-0.093393817760302,12178137590,1008747530,0.0903135734880047,1066190575,1344732870,7818730884,64843372,0.00836269186258476,6684113384,-1134617500,-0.145115302832822,19507338670,19419524680,1173719959,1090185255,7.39913702623907,"3.04411052631579",18.966255815034,6.93827405247813,"2.94336315789474",15.9593130556611,7.1078250728863,"7.45587368421053",0.121137835844724,1,1,0.0103986135181976,0.0474726495726496,2452,320446,0.0592871995744475,0.00492818387644212,NA,0.46,0.33,0.26,-0.03,NA,0.49,0.33,0.18,-0.13
