Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,6442279085,6893238620,7093142540,7497451665,7939801314,8376483394,8795308419,9314240754,10016189785,10352156761,10735901447,11009168733,11187924452,11346504697
Austria,2.89E+11,2.93E+11,2.98E+11,3.00E+11,3.08E+11,3.15E+11,3.25E+11,3.37E+11,3.42E+11,3.29E+11,3.35E+11,3.46E+11,3.49E+11,3.50E+11
Belgium,3.55E+11,3.58E+11,3.64E+11,3.67E+11,3.80E+11,3.87E+11,3.97E+11,4.09E+11,4.13E+11,4.02E+11,4.12E+11,4.19E+11,4.19E+11,4.20E+11
Bulgaria,22712754600,23575583113,24631821956,25951391108,27653728343,29300588273,31196453087,33351310952,35270579507,33502840583,33722393111,34390771534,34560039458,34928402389
Cyprus,14498299779,15081936318,15397335239,15695130499,16358201720,16997801392,17699013878,18607069376,19281876370,18960609562,19207097486,19283925876,18821111655,17804771626
Czech Republic,1.12E+11,1.16E+11,1.18E+11,1.22E+11,1.28E+11,1.36E+11,1.45E+11,1.53E+11,1.58E+11,1.50E+11,1.53E+11,1.56E+11,1.55E+11,1.54E+11
Germany,2.78E+12,2.82E+12,2.82E+12,2.80E+12,2.84E+12,2.86E+12,2.96E+12,3.06E+12,3.09E+12,2.92E+12,3.04E+12,3.15E+12,3.16E+12,3.16E+12
Denmark,2.47E+11,2.49E+11,2.51E+11,2.52E+11,2.58E+11,2.65E+11,2.75E+11,2.77E+11,2.75E+11,2.61E+11,2.65E+11,2.68E+11,2.66E+11,2.65E+11
Spain,9.80E+11,1.02E+12,1.05E+12,1.08E+12,1.12E+12,1.16E+12,1.21E+12,1.25E+12,1.26E+12,1.22E+12,1.22E+12,1.21E+12,1.19E+12,1.17E+12
Estonia,9921578744,10532558449,11177325648,12013445754,12791598891,14003096553,15461202432,16682767870,15793869572,13466240860,13799780630,14941798737,15636623141,15891516316
Finland,1.80E+11,1.85E+11,1.88E+11,1.91E+11,1.99E+11,2.04E+11,2.13E+11,2.24E+11,2.25E+11,2.07E+11,2.13E+11,2.18E+11,2.15E+11,2.13E+11
France,2.03E+12,2.07E+12,2.09E+12,2.11E+12,2.17E+12,2.20E+12,2.26E+12,2.31E+12,2.31E+12,2.25E+12,2.29E+12,2.34E+12,2.35E+12,2.35E+12
UK,2.09E+12,2.14E+12,2.20E+12,2.29E+12,2.35E+12,2.41E+12,2.49E+12,2.55E+12,2.54E+12,2.43E+12,2.48E+12,2.52E+12,2.53E+12,2.58E+12
Greece,2.05E+11,2.13E+11,2.19E+11,2.34E+11,2.45E+11,2.48E+11,2.62E+11,2.71E+11,2.70E+11,2.58E+11,2.44E+11,2.23E+11,2.08E+11,2.01E+11
Croatia,36454652841,37706653030,39684922977,41890574103,43600886940,45416358502,47589617859,50040522650,51067909965,47297232699,46492642026,46361826949,45347620352,44921727280
Ireland,1.66E+11,1.75E+11,1.85E+11,1.90E+11,1.99E+11,2.10E+11,2.22E+11,2.33E+11,2.27E+11,2.12E+11,2.12E+11,2.18E+11,2.17E+11,2.17E+11
Italy,1.77E+12,1.80E+12,1.80E+12,1.81E+12,1.84E+12,1.85E+12,1.89E+12,1.92E+12,1.90E+12,1.79E+12,1.83E+12,1.84E+12,1.79E+12,1.76E+12
