Year,Albania,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Moldova,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Slovak Republic,Slovenia,Sweden,Turkey,Ukraine,0
2000,1427,29321,27688,1955,45222,16051,7169,28326,36767,17685,4867,29005,26868,31449,828,14304,5884,5518,31214,38054,23989,3908,58393,3957,423,12410,1926,31044,44815,5367,13756,1988,2119,1041,6460,12231,35020,5046,760,
2001,1581,29005,27333,2112,45643,16341,7810,28015,36421,18191,5318,29506,26681,30633,869,14708,6212,6224,33223,33860,24172,4149,56326,4213,483,11805,2246,31449,44848,5911,13891,2172,2488,1936,6760,12412,31941,3622,925,
2002,1697,30661,29097,2417,48098,17293,9322,29288,38664,19803,6165,31223,28247,32816,907,16178,7044,7716,37646,37170,25838,4787,60726,4692,534,12624,2441,33467,49209,6047,14989,2462,2762,2500,7605,13746,34408,4161,1023,
2003,2109,36333,34749,3053,54281,20858,11025,34314,45790,24328,8110,37141,33605,36881,1044,20703,8835,9468,46295,44269,31010,6167,72912,5534,621,14537,3151,39824,55755,6444,17851,3120,3367,3206,9860,16842,41832,5201,1187,
2004,2700,40015,38765,3632,58074,23315,12723,37209,50694,27174,9650,41043,36943,41776,1294,23639,10213,11130,51719,51288,34012,7317,81434,6631,786,15337,3678,43271,61751,7241,19679,3853,4481,3633,11637,18823,46282,6398,1491,
2005,2953,40351,38965,3995,57822,23668,14053,36562,51510,27973,10906,41118,36805,42138,1551,23558,10788,11704,53358,59735,33737,8284,83985,7561,877,15627,3868,43472,69396,8416,19821,4908,5633,3723,12309,19171,45463,7523,1930,
2006,3162,41552,40016,4492,58940,24526,15580,37411,53487,29272,12941,42261,37560,43627,1814,25239,11675,11658,55432,57857,34353,9507,90851,9236,977,16204,4492,45231,74986,9252,20371,5950,7140,4244,13476,20273,47541,7951,2367,
2007,3675,47014,44886,5840,63849,28135,18515,42173,59078,33030,16744,48763,42011,48799,2341,28829,13674,13917,61820,69515,38087,12290,103530,13202,1243,18656,6005,51360,84381,11363,23004,8251,9236,5512,16165,24077,53851,9404,3099,
2008,4478,51934,49170,7205,73021,32327,22932,46205,64984,36025,18314,54071,45985,45735,2956,32098,16088,15793,61733,56139,41169,15018,113887,15657,1717,21157,7428,57339,96379,14080,25127,10074,11846,6786,18791,27845,56443,10509,3940,
2009,4350,49508,46873,7019,72575,30655,20520,43406,60310,33680,15331,49069,43367,38622,2543,30713,14732,13445,53641,41942,38536,12202,104930,12586,1589,20455,6993,54071,81729,11918,24024,8405,8975,6064,17141,25661,48134,8986,2652,
2010,4242,47188,45069,6686,75467,28336,20081,42392,58571,31228,14864,46943,41358,38978,2656,27292,13717,13166,48668,42364,36450,12042,104505,11630,1658,20011,6742,51145,87475,12684,22900,8270,10881,5486,16774,23793,52911,10298,3022,
2011,4556,51046,47814,7589,87998,29207,21656,45871,61304,31975,17179,50791,43810,40972,3220,25964,14540,13983,51952,45972,38367,14228,113739,13827,1971,22346,7253,53541,99091,13608,23196,9064,13324,6423,18066,24965,59593,10605,3575,
2012,4306,47253,43812,7035,81409,25755,19225,42937,56331,28336,16715,46174,39982,40124,3449,21985,12935,12495,47295,43220,34336,13851,103622,13631,2000,20651,6367,48015,97379,12585,20263,8246,13772,5538,16763,21979,55840,10419,3786,
2013,4455,48328,44821,7170,81093,24141,18974,44238,57206,28553,17959,46990,40638,39954,3447,20993,13010,12889,48287,45378,34349,14856,105839,14701,2141,21780,6795,48564,96394,13049,20779,9082,13970,6075,17255,22267,57778,10490,3729,
