Country,Currency,EuroTransitionYear
France,Euro,
Germany,Euro,
Italy,Euro,
Spain,Euro,
Sweden,Swedish krona,
United Kingdom,UK pound sterling,
Austria,Euro,
Belgium,Euro,
Denmark,Danish krone,
Finland,Euro,
Greece,Euro,
Ireland,Euro,
Luxembourg,Euro,
Netherlands,Euro,
Portugal,Euro,
Bulgaria,Bulgarian lev,
Cyprus,Euro,
Czech Republic,Czech koruna,
Estonia,Estonian kroon,2011
Hungary,Hungarian forint,
Latvia,Latvian lats,2014
Lithuania,Lithuanian litas,
Malta,Euro,
Poland,Polish zloty,
Romania,Romanian leu,
Slovakia,Euro,
Slovenia,Euro,
Croatia,Croatian kuna,
Albania,Albania,
Bosnia & Herzegovina,Bosnia,
Macedonia,Macedonia,
Moldova,Moldova,
Montenegro,Euro,
Norway,Norwegian krone,
Serbia,Serbia,
Switzerland**,Swiss franc,
Turkey,Turkish lira,
Russia,Rouble,
United States,US dollar,
