country_name_short,country_name,election_date,start_date,cabinet_name,caretaker,cabinet_party,prime_minister,seats,election_seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,cabinet_id,previous_cabinet_id,party_id
AUS,Australia,3/30/1901,9/24/1903,Deakin I,0,0,0,15,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,731,997,996,1253
AUS,Australia,3/30/1901,9/24/1903,Deakin I,0,0,0,26,75,FTP,Free Trade Party,Free Trade Party,,33,731,997,996,1938
AUS,Australia,3/30/1901,9/24/1903,Deakin I,0,0,0,1,75,ILP-QLD,Independet Labor Party (Qld),Independet Labor Party (Qld),,33,731,997,996,1899
AUS,Australia,3/30/1901,9/24/1903,Deakin I,0,1,1,32,75,PP,Protectionist Party,Protectionist Party,,33,731,997,996,1898
AUS,Australia,3/30/1901,9/24/1903,Deakin I,0,0,0,1,75,none,no party affiliation,no party affiliation,,33,731,997,996,1396
AUS,Australia,12/16/1903,4/27/1904,Watson,0,1,1,23,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,730,998,997,1253
AUS,Australia,12/16/1903,4/27/1904,Watson,0,0,0,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,998,997,1938
AUS,Australia,12/16/1903,4/27/1904,Watson,0,0,0,26,75,PP,Protectionist Party,Protectionist Party,,33,730,998,997,1898
AUS,Australia,12/16/1903,4/27/1904,Watson,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,998,997,1921
AUS,Australia,12/16/1903,8/18/1904,Reid,0,0,0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,730,999,998,1253
AUS,Australia,12/16/1903,8/18/1904,Reid,0,1,1,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,999,998,1938
AUS,Australia,12/16/1903,8/18/1904,Reid,0,1,0,26,75,PP,Protectionist Party,Protectionist Party,,33,730,999,998,1898
AUS,Australia,12/16/1903,8/18/1904,Reid,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,999,998,1921
AUS,Australia,12/16/1903,7/5/1905,Deakin II,0,0,0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,730,1000,999,1253
AUS,Australia,12/16/1903,7/5/1905,Deakin II,0,0,0,25,75,FTP,Free Trade Party,Free Trade Party,,33,730,1000,999,1938
AUS,Australia,12/16/1903,7/5/1905,Deakin II,0,1,1,26,75,PP,Protectionist Party,Protectionist Party,,33,730,1000,999,1898
AUS,Australia,12/16/1903,7/5/1905,Deakin II,0,0,0,1,75,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),,33,730,1000,999,1921
AUS,Australia,12/2/1906,11/13/1908,Fisher I,0,1,1,26,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,725,1001,1000,1253
AUS,Australia,12/2/1906,11/13/1908,Fisher I,0,0,0,27,75,FTP,Free Trade Party,Free Trade Party,,33,725,1001,1000,1938
AUS,Australia,12/2/1906,11/13/1908,Fisher I,0,0,0,4,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),,33,725,1001,1000,1917
AUS,Australia,12/2/1906,11/13/1908,Fisher I,0,0,0,16,75,PP,Protectionist Party,Protectionist Party,,33,725,1001,1000,1898
AUS,Australia,12/2/1906,11/13/1908,Fisher I,0,0,0,2,75,WAP,Western Australian Party,Western Australian Party,,33,725,1001,1000,1906
AUS,Australia,12/2/1906,6/2/1909,Deakin III,0,0,0,26,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,725,1002,1001,1253
AUS,Australia,12/2/1906,6/2/1909,Deakin III,0,1,0,27,75,FTP,Free Trade Party,Free Trade Party,,33,725,1002,1001,1938
AUS,Australia,12/2/1906,6/2/1909,Deakin III,0,0,0,4,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),,33,725,1002,1001,1917
AUS,Australia,12/2/1906,6/2/1909,Deakin III,0,1,1,16,75,PP,Protectionist Party,Protectionist Party,,33,725,1002,1001,1898
AUS,Australia,12/2/1906,6/2/1909,Deakin III,0,0,0,2,75,WAP,Western Australian Party,Western Australian Party,,33,725,1002,1001,1906
AUS,Australia,4/13/1910,4/29/1910,Fisher II,0,1,1,43,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,747,1003,1002,1253
AUS,Australia,4/13/1910,4/29/1910,Fisher II,0,0,0,31,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422,33,747,1003,1002,1411
AUS,Australia,4/13/1910,4/29/1910,Fisher II,0,0,0,1,75,none,no party affiliation,no party affiliation,,33,747,1003,1002,1396
AUS,Australia,5/31/1913,6/24/1913,Cook,0,0,0,37,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,748,1004,1003,1253
AUS,Australia,5/31/1913,6/24/1913,Cook,0,1,1,38,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422,33,748,1004,1003,1411
AUS,Australia,9/5/1914,9/17/1914,Fisher III,0,1,1,42,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,724,1005,1004,1253
AUS,Australia,9/5/1914,9/17/1914,Fisher III,0,0,0,32,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422,33,724,1005,1004,1411
AUS,Australia,9/5/1914,9/17/1914,Fisher III,0,0,0,1,75,none,no party affiliation,no party affiliation,,33,724,1005,1004,1396
AUS,Australia,9/5/1914,10/27/1915,Hughes I,0,1,1,42,75,ALP,Australian Labor Party,Australian Labor Party,3.883333367,33,724,1006,1005,1253
AUS,Australia,9/5/1914,10/27/1915,Hughes I,0,0,0,32,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.390253422,33,724,1006,1005,1411
AUS,Australia,9/5/1914,10/27/1915,Hughes I,0,0,0,1,75,none,no party affiliation,no party affiliation,,33,724,1006,1005,1396
