id_type,year,id,share
cabinet,1901,996,1
cabinet,1902,996,1
cabinet,1903,996,0.730769231
cabinet,1903,997,0.269230769
cabinet,1904,997,0.320547945
cabinet,1904,998,0.309589041
cabinet,1904,999,0.369863014
cabinet,1905,999,0.508241758
cabinet,1905,1000,0.491758242
cabinet,1906,1000,1
cabinet,1907,1000,1
cabinet,1908,1000,0.868493151
cabinet,1908,1001,0.131506849
cabinet,1909,1001,0.417582418
cabinet,1909,1002,0.582417582
cabinet,1910,1002,0.324175824
cabinet,1910,1003,0.675824176
cabinet,1911,1003,1
cabinet,1911,1171,0.225274725
cabinet,1912,1003,1
cabinet,1912,1171,1
cabinet,1913,1003,0.478021978
cabinet,1913,1004,0.521978022
cabinet,1913,1171,1
cabinet,1914,1004,0.711538462
cabinet,1914,1005,0.288461538
cabinet,1914,1171,1
cabinet,1915,1005,0.821428571
cabinet,1915,1006,0.178571429
cabinet,1915,1171,1
cabinet,1916,1006,0.871232877
cabinet,1916,1007,0.128767123
cabinet,1916,1171,1
cabinet,1917,1007,0.129120879
cabinet,1917,1008,0.211538462
cabinet,1917,1009,0.659340659
cabinet,1917,1170,0.21978022
cabinet,1917,1171,0.78021978
cabinet,1918,1009,0.024725275
cabinet,1918,1010,0.975274725
cabinet,1918,1170,1
cabinet,1919,981,0.054945055
cabinet,1919,1010,0.950549451
cabinet,1919,1011,0.049450549
cabinet,1919,1170,1
cabinet,1920,981,1
cabinet,1920,1011,1
cabinet,1920,1169,0.476712329
cabinet,1920,1170,0.523287671
cabinet,1921,981,1
cabinet,1921,1011,1
cabinet,1921,1168,0.005494505
cabinet,1921,1169,0.994505495
cabinet,1922,980,0.046703297
cabinet,1922,981,0.953296703
cabinet,1922,1011,1
cabinet,1922,1168,1
cabinet,1923,980,1
cabinet,1923,1011,0.107142857
cabinet,1923,1012,0.892857143
cabinet,1923,1168,1
cabinet,1924,980,1
cabinet,1924,1012,1
cabinet,1924,1168,1
cabinet,1925,979,0.038461538
cabinet,1925,980,0.961538462
cabinet,1925,1012,0.870879121
cabinet,1925,1013,0.129120879
cabinet,1925,1168,1
cabinet,1926,979,1
cabinet,1926,1013,1
cabinet,1926,1167,0.266483516
cabinet,1926,1168,0.733516484
cabinet,1927,979,1
cabinet,1927,1013,1
cabinet,1927,1167,1
cabinet,1928,977,0.049315068
cabinet,1928,979,0.950684932
cabinet,1928,1013,0.879452055
cabinet,1928,1014,0.120547945
cabinet,1928,1167,1
cabinet,1929,977,0.947802198
cabinet,1929,978,0.052197802
cabinet,1929,1014,0.807692308
cabinet,1929,1015,0.192307692
cabinet,1929,1167,1
cabinet,1930,978,1
cabinet,1930,1015,1
cabinet,1930,1166,0.401098901
cabinet,1930,1167,0.598901099
cabinet,1931,976,0.038461538
cabinet,1931,978,0.961538462
cabinet,1931,1015,1
cabinet,1931,1166,1
cabinet,1932,976,1
cabinet,1932,1015,0.01369863
cabinet,1932,1016,0.98630137
cabinet,1932,1166,1
cabinet,1933,976,1
cabinet,1933,1016,1
cabinet,1933,1166,1
cabinet,1934,975,0.78021978
cabinet,1934,976,0.21978022
cabinet,1934,1016,0.857142857
cabinet,1934,1017,0.142857143
cabinet,1934,1166,1
cabinet,1935,974,0.054945055
cabinet,1935,975,0.945054945
cabinet,1935,1017,1
cabinet,1935,1165,0.18956044
cabinet,1935,1166,0.81043956
cabinet,1936,974,1
cabinet,1936,1017,1
cabinet,1936,1165,1
cabinet,1937,974,1
cabinet,1937,1017,0.81043956
cabinet,1937,1018,0.18956044
cabinet,1937,1165,1
cabinet,1938,974,1
cabinet,1938,1018,1
cabinet,1938,1165,1
cabinet,1939,973,0.049450549
cabinet,1939,974,0.950549451
cabinet,1939,1018,0.263736264
cabinet,1939,1019,0.052197802
cabinet,1939,1020,0.684065934
cabinet,1939,1165,1
cabinet,1940,973,1
cabinet,1940,1020,0.2
cabinet,1940,1021,0.624657534
cabinet,1940,1022,0.175342466
cabinet,1940,1164,0.767123288
cabinet,1940,1165,0.232876712
cabinet,1941,973,1
cabinet,1941,995,0.233516484
cabinet,1941,1022,0.659340659
cabinet,1941,1023,0.107142857
cabinet,1941,1164,1
cabinet,1942,973,1
cabinet,1942,995,1
cabinet,1942,1025,0.041208791
cabinet,1942,1164,1
cabinet,1943,972,0.043956044
cabinet,1943,973,0.956043956
cabinet,1943,994,0.277472527
cabinet,1943,995,0.722527473
cabinet,1943,1025,1
cabinet,1943,1036,0.266483516
cabinet,1943,1164,1
cabinet,1944,29,0.052054795
cabinet,1944,120,0.120547945
cabinet,1944,151,0.561643836
cabinet,1944,305,0.156164384
cabinet,1944,329,0.139726027
cabinet,1944,340,0.104109589
cabinet,1944,435,0.194520548
cabinet,1944,593,0.210958904
cabinet,1944,972,1
cabinet,1944,994,1
cabinet,1944,1025,0.805479452
cabinet,1944,1036,1
cabinet,1944,1164,1
cabinet,1945,10,0.510989011
cabinet,1945,29,0.115384615
cabinet,1945,58,0.153846154
cabinet,1945,99,0.434065934
cabinet,1945,120,0.291208791
cabinet,1945,133,0.074175824
cabinet,1945,151,1
cabinet,1945,174,0.129120879
cabinet,1945,204,0.414835165
cabinet,1945,329,0.89010989
cabinet,1945,340,0.870879121
cabinet,1945,387,0.148351648
cabinet,1945,411,0.10989011
cabinet,1945,435,1
cabinet,1945,452,0.607142857
cabinet,1945,543,0.42032967
cabinet,1945,574,0.46978022
cabinet,1945,608,0.557692308
cabinet,1945,632,0.019230769
cabinet,1945,666,0.365384615
cabinet,1945,767,0.521978022
cabinet,1945,790,0.06043956
cabinet,1945,808,0.46978022
cabinet,1945,815,0.708791209
cabinet,1945,972,1
cabinet,1945,994,0.510989011
cabinet,1945,1036,1
cabinet,1945,1164,0.442307692
cabinet,1946,52,0.041208791
cabinet,1946,58,1
cabinet,1946,96,0.497252747
cabinet,1946,99,1
cabinet,1946,125,0.769230769
cabinet,1946,133,1
cabinet,1946,150,0.480769231
cabinet,1946,151,1
cabinet,1946,168,0.049450549
cabinet,1946,174,1
cabinet,1946,204,0.195054945
cabinet,1946,387,1
cabinet,1946,411,0.068681319
cabinet,1946,416,0.46978022
cabinet,1946,435,0.494505495
cabinet,1946,474,0.03021978
cabinet,1946,489,0.343406593
cabinet,1946,490,0.164835165
cabinet,1946,540,0.412087912
cabinet,1946,543,0.777472527
cabinet,1946,574,0.835164835
cabinet,1946,608,1
cabinet,1946,628,0.222527473
cabinet,1946,648,0.409340659
cabinet,1946,703,0.505494505
cabinet,1946,767,0.502747253
cabinet,1946,790,0.53021978
cabinet,1946,815,0.230769231
cabinet,1946,891,0.612637363
cabinet,1946,972,1
cabinet,1946,1036,0.96978022
cabinet,1947,52,0.057692308
cabinet,1947,58,1
cabinet,1947,96,1
cabinet,1947,99,1
cabinet,1947,125,1
cabinet,1947,133,0.887362637
cabinet,1947,151,1
cabinet,1947,174,0.162087912
cabinet,1947,330,0.840659341
cabinet,1947,387,0.868131868
cabinet,1947,395,0.837912088
cabinet,1947,408,0.131868132
cabinet,1947,416,0.087912088
cabinet,1947,474,1
cabinet,1947,490,1
cabinet,1947,496,0.785714286
cabinet,1947,501,0.587912088
cabinet,1947,525,0.324175824
cabinet,1947,540,0.214285714
cabinet,1947,556,0.054945055
cabinet,1947,608,1
cabinet,1947,628,1
cabinet,1947,703,0.093406593
cabinet,1947,742,0.906593407
cabinet,1947,753,0.101648352
cabinet,1947,884,0.112637363
cabinet,1947,891,0.39010989
cabinet,1947,892,0.60989011
cabinet,1947,972,0.945054945
cabinet,1948,40,0.095890411
cabinet,1948,58,1
cabinet,1948,78,0.424657534
cabinet,1948,96,0.6
cabinet,1948,99,1
cabinet,1948,125,0.575342466
cabinet,1948,128,0.4
cabinet,1948,151,0.131506849
cabinet,1948,154,0.868493151
cabinet,1948,263,0.095890411
cabinet,1948,355,0.306849315
cabinet,1948,363,0.02739726
cabinet,1948,395,0.534246575
cabinet,1948,408,1
cabinet,1948,445,0.115068493
cabinet,1948,474,1
cabinet,1948,490,1
cabinet,1948,496,0.904109589
cabinet,1948,501,0.391780822
cabinet,1948,534,0.126027397
cabinet,1948,556,1
cabinet,1948,608,0.873972603
cabinet,1948,628,0.884931507
cabinet,1948,676,0.608219178
cabinet,1948,742,1
cabinet,1948,753,0.569863014
cabinet,1948,799,0.465753425
cabinet,1948,884,1
cabinet,1948,892,0.139726027
cabinet,1948,893,0.649315068
cabinet,1948,894,0.210958904
cabinet,1948,1084,0.632876712
cabinet,1949,40,0.60989011
cabinet,1949,58,0.774725275
cabinet,1949,78,1
cabinet,1949,99,1
cabinet,1949,128,1
cabinet,1949,147,0.28021978
cabinet,1949,154,1
cabinet,1949,355,0.824175824
cabinet,1949,408,1
cabinet,1949,445,1
cabinet,1949,450,0.032967033
cabinet,1949,474,0.936813187
cabinet,1949,490,0.967032967
cabinet,1949,534,0.486263736
cabinet,1949,556,1
cabinet,1949,625,0.068681319
cabinet,1949,636,0.175824176
cabinet,1949,676,1
cabinet,1949,717,0.063186813
cabinet,1949,726,0.225274725
cabinet,1949,742,0.931318681
cabinet,1949,746,0.39010989
cabinet,1949,750,0.513736264
cabinet,1949,775,0.145604396
cabinet,1949,799,1
cabinet,1949,884,0.854395604
cabinet,1949,894,0.112637363
cabinet,1949,895,0.887362637
cabinet,1949,922,0.813186813
cabinet,1949,1084,0.186813187
cabinet,1950,36,0.17032967
cabinet,1950,78,0.206043956
cabinet,1950,88,0.840659341
cabinet,1950,99,0.159340659
cabinet,1950,123,0.945054945
cabinet,1950,128,1
cabinet,1950,147,1
cabinet,1950,154,1
cabinet,1950,367,0.472527473
cabinet,1950,408,0.708791209
cabinet,1950,445,1
cabinet,1950,450,1
cabinet,1950,556,1
cabinet,1950,625,0.197802198
cabinet,1950,636,0.087912088
cabinet,1950,676,0.054945055
cabinet,1950,695,0.18956044
cabinet,1950,700,0.376373626
cabinet,1950,717,1
cabinet,1950,726,1
cabinet,1950,746,0.434065934
cabinet,1950,750,1
cabinet,1950,758,0.412087912
cabinet,1950,766,0.802197802
cabinet,1950,775,1
